productID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
4652,aqua/water,butyrospermum parkii butter/shea butter,glycerin,dimethicone,niacinamide,paraffinum liquidum/mineral oil,cetearyl alcohol,brassica campestris oleifera oil/rapeseed seed oil,ammonium polyacryldimethyltauramide/ammonium polyacryloyldimethyl taurate,peg-100 stearate,glyceryl stearate,peg-20 methyl glucose sesquistearate,cera microcristallina/microcrystalline wax,paraffin,sorbitan tristearate,dimethiconol,mannose,disodium edta,capryloyl glycine,vitreoscilla ferment,xanthan gum,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,sodium benzoate,code fil : b166073/2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4654,aqua (water),sodium laureth sulfate,peg-200 hydrogenated glyceryl palmitate,glycerin,coco-betaine,polysorbate 20,peg-7 glyceryl cocoate,citric acid,cocamide mea,niacinamide,parfum (fragrance),peg-55 propylene glycol oleate,peg-60 hydrogenated castor oil,peg-75 shea butter glycerides,polyquaternium-11,ppg-5-ceteth-20,propylene glycol,prunus amygdalus oil/sweet almond oil,sodium benzoate,sodium chloride,sodium hydroxide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4655,aqua/water,glycerin,squalane,propanediol,butylene glycol,butyrospermum parkii butter/shea butter,pentylene glycol,niacinamide,dimethicone,polymethylsilsesquioxane,polysorbate 20,glyceryl acrylate/acrylic acid copolymer,dimethiconol,aluminum starch octenyl succinate,ammonium polyacryldimethyltauramide/ammonium polyacryloyldimethyl taurate,disodium edta,citric acid,acetyldipeptide-1 cetyl ester,(code fil : b166593/1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656,aqua/water,hexylene glycol,poloxamer 184,glycerin 1 %,disodium cocoamphodiacetate,disodium edta,citric acid,dihydrocholeth-30,sodium chloride,sodium diglycolate,sodium glycolate,polyaminopropyl biguanide,parfum/fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4657,aqua/ water,propylene glycol,octyldodecanol,dimethicone,peg-100 stearate,glyceryl stearate,saucylic acid,ammonium polyacryldimethyltauramide / ammonium polyacryloyldimeïhyl taurate,zinc pca,sarcosine,sodium hydroxide,silica,silica silylate,perlite,carnos|ne,disodium edta,capryloyl saucyuc acid,xanthan gum,pentylene glycol,acrylates copolymer,cefyl alcohol,butylene glycol,tocopherol,parfum / fragrance. (code f.i.l. : b168722/1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4658,aqua / water,glycerin,c12-15 alkyl benzoate,caprylic/capric triglyceride,ethylhexyl salicylate,bis-ethylhexyloxyphenol,methoxyphenyl triazine,alcohol denat.,titanium dioxide,butyl methoxydibenzoylmethane,drometrizole trisiloxane,styrene/acrylates copolymer,dimethicone,zea mays starch / corn starch,propylene glycol,synthetic wax,diethylhexyl butamido triazone,potassium cetyl phosphate,aluminum hydroxide,ammonium polyacryldimethyltauramide / ammonium polyacryloyldimethyl taurate,butyrospermum parkii butter / shea butter,caprylyl glycol,disodium edta,glyceryl stearate,hydroxypropyl methylcellulose,palmitic acid,peg-100 stearate,peg-8 laurate,stearic acid,tocopherol,triethanolamine (f.i.l c168811/1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4659,aqua,glycerin,niacinamide,dimethicone,paraffinum liquidum/mineral oil,caprylic/capric triglyceride,brassica campestris oleifera oil,rapeseed seed oil,dimethiconol,sodium hydroxyde,ammonium polyacryldimethyltauramide,disodium edta,caprylyl glycol,xanthan gum acrylates,c10-30 alkyl acrylate crosspolymer,butyrospermum parkii,phenoxyethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660,aqua/water,hexylene glycol,poloxamer 184,glycerin 1 %,disodium cocoamphodiacetate,disodium edta,citric acid,dihydrocholeth-30,sodium chloride,sodium diglycolate,sodium glycolate,polyaminopropyl biguanide,parfum/fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4661,issu de pagriculture biologique i ovt.:c farming. 99% du toal des naturelle 199% of toal ingredens 77% du toal des ingrzîens sont a$culture biologique 177% of toaj are from organic farming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,aqua,glycerin,rosa damascena flower water,mica,alcohol denat.,isopropyl isostearate,rhamnose,propanediol,undecane,polyglyceryl-3 dicitrate/stearate,octyldodecanol,tridecane,benzyl alcohol,ci 77891/titanium dioxide,parfum/fragrance,sodium hyaluronate,adenosine,linalool,xanthan gum,limonene,silica,citronellol,benzyl salicylate,geraniol,royal jelly,ci77491,ci77492/iron oxides,citral,alumina,anise alcohol,eugeniol,benzyl benzoate,arginine,citric acid,tocopherol,helianthus annuus seed oil/sunflower seed oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,rosa damascena flower water*,aqua / water,geraniol,linalool,????,citronellol,citral,citric acid,dehydroacetic acid,benzyl alcohol,?????  * ingrédient issu de l'agriculture biologique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4673,aqua (water),sodium laureth sulfate,peg-60 hydrogenated castor oil,glyceryn,coco-betaine,parfum (fragrance),peg-7 glyceryl cocoate,ceteareth-60 myristyl glycol,laureth-11 carboxylic acid,sodium chloride,ppg-5-ceceth-20,sodium benzoate,linalool,citronellol,polyquaternium-10,limonene,aloe barbadensis leaf juice,sodium acetate,ficus carica extract (fig extract),isopropyl alcohol,xanthan gum,potassium sorbate,sodium hydroxide,citric acid (f.i.l c183475/2).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4675,aqua/ water,glycerin,butyrospermum parkii butter/shea butter,isopropyl palmitate,cetyl alcohol,olea europaea oil/olive fruit oil,myristyl myristate,parfum/fragrance,zea mays starch/corn starch,phenoxyethanol,carbomer,propylene glycol,caprylyl glycol,polyglyceryl-3 methylglucose distearate,benzoic acid,tocopherol,sodium hydroxide,sodium polyacrylate,hexyl cinnamal,c12-13 alkyl lactate,butylphenyl methylpropional,limonene,linalool,citronellol,rosa gallica extract/rosa gallica flower extract,benzyl alcohol,citral. (f.i.l. b158192/2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4678,1 fragrance itnaioov,citroneilol. . ficus .iris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4680,aqua/water,ethylhexyl palmitate,propanediol,glycerin,pentylene glycol,sodium laureth sulfate,niacinamide,coco-glucoside,acrylates/c10-30 alkyl acrylate crosspolymer,zinc pca,sodium hydroxide,disodium edta,caprylyl glycol,phenoxyethoanol,parfum/fragrance,code fil : b176711/1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683,water,homosalate,octocrylene,ethylhexyl salicylate,butyl methoxydibenzoylmethane,alcohol denat,propanediol,ethylhexyl triazone,propylene glycol,dimethicone,bis-ethylhexyloxyphenol methoxyphenyl triazine,glycerin,ascorbyl palmitate,carbomer,disodium edta,drometrizole trisiloxane,glyceryl oleate,hydrogenated palm glycerides citrate,lecithin,nylon-12,peg-8 laurate,phenoxyethanol,styrene/acrylates copolymer,tocopherol triethanolamine,parfum/fragrance,acrylates/dimethicone copolymer,p-anisic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4686,aqua/water,sodium methyl cocoyl taurate,laureth-5 carboxylic acid,cocamidopropyl betaine,glycerin,sodium chloride,ascorbyl glucoside,coconut acid,hexylene glycol,isopropyl alcohol,lactic acid,panthenol,peg-150 distearate,peg-55 propylene glycol oleate,piroctone olamine,polyquaternium-10,polysorbate-21,propylene glycol,salicylic acid,sodium acetate,soduim benzoate,soduim hydroxide,soduim lauryl glutamate,parfum/fragrance,code f.i.l: 182927/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4687,aqua/water,sodium cocoyl isethionate,disodium laureth sulfosuccinate,sodium lauryl sulfoacetate,sodium lauroyl sarcosinate,glycerin,glycol distearate,cocamidopropyl betaine,amodimethicone,benzoic acid,c12-13 pareth-23,c12-13 pareth-3,carbomer,cetrimonium chloride,citric acid,coco-betaine,decyl glucoside,divinyldimethicone / dimethicone copolymer,hydrogenated coconut acid,isopropyl alcohol panthenol,peg-55 propylene glycol oleate,phenoxyethanol,piroctone olamine,polyquaternium-10,polyquaternium-7,polysorbate 21,ppg-5-ceteth-20,propylene glycol,prunus armeniaca kernel oil/apricot kernel oil,salicylic acid,soduim acetate sodium benzoate,sodium chloride,sodium hydroxide,sodium isethionate,trideceth-6,parfum/fragrance,code f.i.l: c184528/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4688,aqua,glycerin,dimethicone,peg/ppg/polybutylene glycol-8/5/3 glycerin,peg-60 hydrogenated castor oil,dimethiconol,sodium hyaluronate,phenoxyehtanol,chondrus crispus (carrageenan),ammonium polyacryldimethyltauramide,poloxamer 338,disodium edta,caprylyl glycol,citric acid,biosaccharide gum-1,acrylates/c10-30 alkyl acrylate crosspolymer,parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4689,aqua,rhamnose,cyclohexasiloxane,glycerin,alcohol denat.,butylene glycol,polymethylsilsesquioxane,octyldodecanol,polysilicone-11,dimethicone,pentaerythrityl tetraethylhexanoate,bht,peg-20 methyl glucose sesquistearate,c13-14 isoparaffin,sodium hyaluronate,sodium hydroxide,adenosine,poloxamer 338,disodium edta,ammonium polyacryldimethyltauramide,tocopherol,capryloyl salicylic acid,caprylyl glycol,hydrolyzed hyaluronic acid,laureth-7,t-butyl alcohol,polyacrylamide,parfum. code fil: c180572/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,aqua vater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,aqua vater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,aqua/water,sodium cocoyl isethionate,disodium laureth sulfosuccinate,sodium lauryl sulfoacetate,sodium lauroyl sarcosinate,glycerin,glycol distearate,cocamidopropyl betaine,amodimethicone,benzoic,acid c12-13 pareth-23,c12-13 pareth-3,carbomer,cetrimonium chloride,citric acid,coco-betaine,decyl glucoside,divinyldimethicone/dimethicone copolymer,hydrogenated coconut acid,isopropyl alcohol,panthenol,panthenol peg-55 propylene glycol oleate,phenoxyethanol,piroctone olamine,polyquaternium-10,polyquaternium-7,polysorbate 21,ppg-5-ceteth-20,propylene glycol,prunus armeniacakernel oil/apricot kernel oil,salicylic acid,soduim acetate,sodium benzoate,sodium chloride,sodium hydroxide,sodium isethionate,trideceth-6,parfum/fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,aqua,alcoholdenat.,glycerin,dimethicone,hydroxyethylpiperazine ethane sulfonic acid,ci 14700,ci 19140,carbomer,vaccinium myrtillus fruit extract,saccharum officinarum extract,pumice,sodium hydroxide,phenoxyethanol,mannose,ascorbyl glucoside,disodium edta,caprylyl glycol,citrus aurantium dulcis fruit water,citrus limon fruit extract,acer saccharum extract,xanthan gum,parfum,code f.i.l. : c185392/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,aqua/water,glycerin,alcohol denat.,niacinamide,dipropylene glycol,pentylene glycol,butylene glycol,peg-8,peg/ppg/polybutyleneglycol-8/5/3 glycerin,peg-60 hydrogenated castor oil,ci 61570,carbomer,triethanolamine,phenoxyethanol,ammonium,polyacryloyl,dimethyltaurate,tetrasodium edta,menthoxypropanediol,t-butyl alcohol,parfum,code f.i.l: c182661/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,aqua,kaolin,argilla,propanediol,glycerin,caprylic / capric triglyceride,ci 77891,cetearyl alcohol,zea mays starch,ci 77499,ci 77492,ci 77491,allantoin,ceteareth-20,aloe barbadensis leaf juice powder,lecithin,phenoxyethanol,tocopherol,caprylyl glycol,xanthan gum,parfum,code f.i.l. : c182660/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697,aqua/water,homosalate,panthenol,ethylhexyl salicylate,butyl methoxydibenzoylmethane,octocrylene,alcohol denat.,bis-ethylhexyloxyphenol methoxyphenyl triazine,styrene/acrylates copolymer,ethylhexyl triazone,triethanolamine,dimethicone,phenylbenzimidazole sulfonic acid,peg-8 laurate,sorbitan oleate,zinc gluconate,madecassoside,manganese gluconate,isohexadecane,sodium acrylates crosspolymer-2,silica,2-oleamido-1,3-octadecanediol,perlite,drometrizole trisiloxane,poloxamer 338,disodium edta,copper gluconate,caprylyl glycol,polysorbate 80,acrylamide/sodium acryloyldimethyltaurate copolymer,acrylates/c10-30 alkyl acrylate crosspolymer,bht,tocopherol,phenoxyethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,aqua/water,glycerin,dimethicone,isocetyl stearate,niacinamide,isopropyl lauroyl sarcosinate,ammonium polyacryloyldimethyl taurate,methyl methacrylate crosspolymer,t-butyl alcohol,sodium hydroxide,oleic acid,salicylic acid,silica silylate,poloxamer 338,nylon-12,polysorbate 80,zinc pca,linoleic acid,pentaerythrityltetra-di-t-butyl hydroxhydrocinnamate,isohexadecane,2-oleamido-1,3-octadecanediol,capryloyl salicylic acid,caprylyl glycol,piroctone olamine,myristyl myristate,acrylamide/sodium acryloyldimethyltaurate copolymer,parfum/fragrance,sorbitan oleate,disodium edta,potassium cetyl phosphate,bht,glyceryl stearate se (± may contain ci 77891/titanium dioxide,ci 77491,ci 77492,ci 77499/iron oxides,mica,) code fil : b184641/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
